Devices
2000
,,pelvis - accel,,,pelvis - gyro,,,pelvis - mag,,,pelvis - Global Angle,,,pelvis - HighG,,,tibia - accel,,,tibia - gyro,,,tibia - mag,,,tibia - Global Angle,,,tibia - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
4,9,9540.22,-1971.96,-157.28,1.29768,0.710013,-0.731425,1.97832e-05,-1.95833e-05,-1.65335e-05,0,0,0,0,0,0,9112.54,-1142.56,3558.86,1.33998,1.00454,0.390237,0,0,0,0,0,0,0,0,0
4,10,9561.99,-1972.31,-163.544,1.23517,0.719576,-0.700551,1.96884e-05,-1.95143e-05,-1.66455e-05,0,0,0,0,0,0,9102.53,-1141.55,3568.42,1.31935,1.07247,0.285643,0,0,0,0,0,0,0,0,0
4,11,9597.22,-1948.55,-171.834,1.12043,0.70138,-0.585372,1.95936e-05,-1.94453e-05,-1.67576e-05,0,0,0,0,0,0,9091.58,-1136.55,3579.94,1.28905,1.12227,0.0777248,0,0,0,0,0,0,0,0,0
4,12,9604.84,-1946.79,-180.645,1.12078,0.805965,-0.482097,1.94988e-05,-1.93764e-05,-1.68696e-05,0,0,0,0,0,0,9092.16,-1119.92,3573.03,1.28025,1.04876,-0.00154701,0,0,0,0,0,0,0,0,0
4,13,9608.11,-1950.47,-190.182,1.13238,0.90106,-0.405522,1.94039e-05,-1.93074e-05,-1.69817e-05,0,0,0,0,0,0,9093.52,-1102.07,3564.21,1.27988,0.966592,-0.0418294,0,0,0,0,0,0,0,0,0
4,14,9604.23,-1975.74,-205.004,1.11882,0.797446,-0.530651,1.93091e-05,-1.92385e-05,-1.70938e-05,0,0,0,0,0,0,9089.6,-1086,3558.6,1.32547,0.938501,0.101157,0,0,0,0,0,0,0,0,0
4,15,9596.24,-1986.03,-213.647,1.13628,0.717654,-0.605695,1.92143e-05,-1.91695e-05,-1.72058e-05,0,0,0,0,0,0,9085.62,-1071.76,3552.63,1.40017,0.905377,0.19079,0,0,0,0,0,0,0,0,0
4,16,9580,-1966.35,-209.932,1.21576,0.685508,-0.580568,1.91195e-05,-1.91005e-05,-1.73179e-05,0,0,0,0,0,0,9081.52,-1061.2,3545.95,1.53309,0.862186,0.173715,0,0,0,0,0,0,0,0,0
4,17,9568.49,-1956.16,-199.853,1.24425,0.703863,-0.530439,1.90848e-05,-1.91078e-05,-1.73457e-05,0,0,0,0,0,0,9072.43,-1068.53,3535.8,1.54587,0.861378,0.13541,0,0,0,0,0,0,0,0,0
4,18,9560.75,-1953.56,-184.681,1.23193,0.762621,-0.460307,1.90984e-05,-1.91761e-05,-1.73061e-05,0,0,0,0,0,0,9059.36,-1090.16,3522.87,1.46255,0.894474,0.0801218,0,0,0,0,0,0,0,0,0
